工号,姓名,刷卡时间,门禁点,部门
030277,冯悦,2026-04-26 10:01:03,A座-闸机,星云科技/商业化中心/销售一部
030075,施娟伟,2026-03-31 10:08:30,A座-闸机,星云科技/技术平台中心/数据智能部
030165,吴怡,2026-04-15 09:37:00,A座-闸机,星云科技/技术平台/数据智能部
030387,吕磊涛,2026-04-01 08:58:50,A座-闸机,用户增长/市场部
030061,孙敏,2026-04-10 08:22:11,A座-闸机,技术平台中心/数据智能部
30060,赵超,2026-03-31 08:24:35,A座-闸机,星云科技/技术平台中心/基础架构部
030323,秦杰晨,2026-04-29 10:38:12,A座-闸机,星云科技/商业化中心/商业产品部
30393,孙勇军,2026-03-23 09:38:46,A座-闸机,星云科技/用户增长中心/内容运营部
030472,何志,2026-03-25 09:13:33,A座-闸机,职能线/行政法务部
030002,卫静芳,2026-04-26 08:31:28,A座-闸机,技术平台中心/数据智能部
30501,李刚,2026-04-22 10:58:55,A座-闸机,星云科技/职能线/财务部
30426,褚平,2026-03-20 08:14:12,A座-闸机,用户增长/市场部
030440,周强晨,2026-04-30 08:04:31,A座-闸机,用户增长/市场部
30466,魏志志,2026-03-24 10:54:22,A座-闸机,职能线/行政法务部
030489,钱洋敏,2026-04-03 09:40:52,A座-闸机,星云科技/职能线/人力资源部
030502,吕刚,2026-04-10 08:42:31,A座-闸机,职能线/财务部
30175,许宇强,2026-04-08 08:49:53,A座-闸机,技术平台中心/基础架构部
30164,许军,2026-03-25 10:22:06,A座-闸机,技术平台中心/应用研发部
030173,何兰红,2026-04-21 09:50:22,A座-闸机,技术平台中心/数据智能部
30226,施刚斌,2026-04-02 08:43:47,A座-闸机,商业化中心/销售一部
30336,孔欣,2026-03-20 10:57:35,A座-闸机,商业化中心/商业产品部
30301,华艳伟,2026-03-31 09:55:02,A座-闸机,商业化中心/商业产品部
30012,施敏,2026-03-05 09:45:15,A座-闸机,技术平台中心/基础架构部
30211,严桂,2026-03-11 09:55:00,A座-闸机,星云科技/商业化中心/销售二部
030451,孙兰,2026-03-26 09:46:11,A座-闸机,星云科技/用户增长中心/市场部
30466,魏志志,2026-04-24 10:40:43,A座-闸机,职能线/行政法务部
30053,朱勇悦,2026-04-22 10:50:25,A座-闸机,技术平台中心/数据智能部
030500,金晨芳,2026-04-29 10:13:40,A座-闸机,星云科技/职能线/行政法务部
30497,沈红敏,2026-03-19 08:20:17,A座-闸机,职能线/行政法务部
30068,朱萍,2026-03-26 09:29:46,A座-闸机,星云科技/技术平台/应用研发部
30040,冯强强,2026-04-24 10:38:02,A座-闸机,星云科技/技术平台/应用研发部
30112,陈天军,2026-03-29 11:52:26,A座-闸机,技术平台中心/基础架构部
030091,施萍,2026-04-27 09:56:05,A座-闸机,星云科技/技术平台中心/基础架构部
30272,钱华,2026-04-26 08:32:23,A座-闸机,商业化中心/销售一部
30165,吴怡,2026-04-03 08:05:23,A座-闸机,技术平台中心/数据智能部
30279,吴宇,2026-04-08 08:35:35,A座-闸机,星云科技/商业化中心/销售二部
030042,韩红军,2026-04-08 09:42:17,A座-闸机,星云科技/技术平台中心/应用研发部
30082,陶艳刚,2026-04-24 08:20:39,A座-闸机,技术平台中心/基础架构部
30503,李娜,2026-04-15 09:30:42,A座-闸机,星云科技/职能线/人力资源部
30306,华敏芳,2026-03-09 09:44:20,A座-闸机,商业化中心/销售一部
30513,杨娜桂,2026-03-06 08:26:18,A座-闸机,职能线/财务部
030010,张志刚,2026-03-16 10:45:06,A座-闸机,星云科技/技术平台中心/应用研发部
030024,吴军,2026-04-06 08:24:47,A座-闸机,技术平台中心/应用研发部
030332,何欣,2026-03-04 09:29:34,A座-闸机,商业化中心/商业产品部
030482,李丽,2026-04-09 10:01:32,A座-闸机,星云科技/职能线/财务部
030301,华艳伟,2026-04-16 09:06:18,A座-闸机,星云科技/商业化中心/商业产品部
30075,施娟伟,2026-04-22 08:30:24,A座-闸机,技术平台中心/数据智能部
030331,秦明静,2026-04-21 08:26:56,A座-闸机,商业化中心/销售一部
30547,王兰华,2026-04-24 09:18:21,A座-闸机,星云科技/商业化中心/销售一部
030406,沈涛,2026-04-06 10:02:23,A座-闸机,用户增长/内容运营部
030404,郑悦,2026-04-06 09:20:29,A座-闸机,用户增长/内容运营部
30158,姜华,2026-04-23 10:40:41,A座-闸机,星云科技/技术平台中心/数据智能部
30499,吴萍,2026-04-21 10:44:23,A座-闸机,星云科技/职能线/人力资源部
030198,褚杰,2026-03-29 08:21:01,A座-闸机,星云科技/技术平台中心/数据智能部
30321,王斌,2026-03-23 09:32:40,A座-闸机,商业化中心/商业产品部
30069,曹艳,2026-04-28 08:46:25,A座-闸机,星云科技/技术平台/应用研发部
30418,陈敏,2026-04-08 09:31:44,A座-闸机,星云科技/用户增长中心/内容运营部
30538,秦刚华,2026-04-06 08:46:37,A座-闸机,星云科技/用户增长中心/市场部
30471,孙秀刚,2026-03-31 10:36:47,A座-闸机,职能线/人力资源部
30428,陶丽英,2026-03-17 10:24:48,A座-闸机,用户增长/内容运营部
030094,施强欣,2026-04-03 08:36:19,A座-闸机,星云科技/技术平台/数据智能部
30047,吴宇秀,2026-04-23 09:58:34,A座-闸机,技术平台中心/基础架构部
30142,秦明萍,2026-03-06 09:18:55,A座-闸机,星云科技/技术平台/数据智能部
30357,李霞,2026-03-18 08:01:36,A座-闸机,商业化中心/销售一部
30497,沈红敏,2026-03-27 08:48:32,A座-闸机,职能线/行政法务部
030262,严娟,2026-04-20 08:38:08,A座-闸机,星云科技/商业化中心/销售一部
30224,钱欣刚,2026-04-08 09:37:16,A座-闸机,星云科技/商业化中心/销售一部
030357,李霞,2026-04-28 09:56:19,A座-闸机,星云科技/商业化中心/销售一部
030380,孔勇,2026-04-03 10:21:41,A座-闸机,星云科技/用户增长中心/内容运营部
030519,吕勇,2026-03-05 10:30:19,A座-闸机,职能线/人力资源部
30184,褚平,2026-03-30 10:13:59,A座-闸机,星云科技/技术平台/应用研发部
30152,郑明娜,2026-04-23 10:07:27,A座-闸机,星云科技/技术平台/应用研发部
30092,褚丽,2026-04-27 10:44:41,A座-闸机,星云科技/技术平台/应用研发部
030167,张华秀,2026-03-17 09:30:01,A座-闸机,技术平台中心/数据智能部
30316,曹晨,2026-03-20 08:55:09,A座-闸机,星云科技/商业化中心/商业产品部
30264,吴玉,2026-03-05 10:40:46,A座-闸机,星云科技/商业化中心/销售二部
030154,沈平芳,2026-03-31 10:36:38,A座-闸机,技术平台中心/应用研发部
30153,赵霞红,2026-04-24 10:53:19,A座-闸机,星云科技/技术平台/数据智能部
30102,姜曦涛,2026-03-15 12:58:20,A座-闸机,星云科技/技术平台/基础架构部
30223,郑志,2026-03-30 09:10:11,A座-闸机,商业化中心/销售二部
030475,施娟洋,2026-04-14 10:12:25,A座-闸机,星云科技/职能线/财务部
030308,尤娜英,2026-03-18 08:21:24,A座-闸机,星云科技/商业化中心/销售二部
30065,秦悦欣,2026-04-28 08:28:43,A座-闸机,技术平台中心/应用研发部
030335,吕斌曦,2026-03-13 08:25:44,A座-闸机,商业化中心/商业产品部
30029,何静强,2026-03-18 09:11:25,A座-闸机,星云科技/技术平台/基础架构部
030025,沈欣娟,2026-03-10 08:28:14,A座-闸机,技术平台中心/基础架构部
30002,卫静芳,2026-03-27 10:53:38,A座-闸机,技术平台中心/数据智能部
30290,钱晨涛,2026-04-14 10:09:17,A座-闸机,商业化中心/销售一部
030516,施强,2026-03-23 10:01:19,A座-闸机,星云科技/职能线/人力资源部
030506,金桂娜,2026-03-16 09:26:21,A座-闸机,职能线/财务部
030380,孔勇,2026-04-08 09:50:47,A座-闸机,用户增长/内容运营部
30044,魏晨,2026-03-11 08:59:29,A座-闸机,技术平台中心/应用研发部
030457,周丽,2026-04-02 09:47:27,A座-闸机,星云科技/用户增长中心/内容运营部
030025,沈欣娟,2026-04-23 09:12:31,A座-闸机,技术平台中心/基础架构部
30429,华娜,2026-03-06 10:59:34,A座-闸机,用户增长/内容运营部
30271,沈军玉,2026-03-12 08:02:59,A座-闸机,商业化中心/销售二部
30085,秦涛,2026-04-09 10:38:55,A座-闸机,星云科技/技术平台中心/数据智能部
30341,秦芳,2026-03-23 10:42:20,A座-闸机,星云科技/商业化中心/销售一部
30416,钱英玉,2026-04-02 09:46:52,A座-闸机,星云科技/用户增长中心/市场部
030052,陶平,2026-03-26 10:59:42,A座-闸机,技术平台中心/基础架构部
30301,华艳伟,2026-04-28 10:04:46,A座-闸机,商业化中心/商业产品部
30191,王悦,2026-03-15 09:25:03,A座-闸机,星云科技/技术平台中心/基础架构部
30288,韩敏,2026-03-26 10:34:06,A座-闸机,商业化中心/商业产品部
030210,尤艳萍,2026-03-10 08:21:26,A座-闸机,星云科技/技术平台/基础架构部
30210,尤艳萍,2026-03-19 08:39:02,A座-闸机,技术平台中心/基础架构部
30327,尤芳,2026-04-07 10:04:52,A座-闸机,商业化中心/销售一部
30164,许军,2026-03-12 08:14:47,A座-闸机,星云科技/技术平台中心/应用研发部
30466,魏志志,2026-03-23 09:06:34,A座-闸机,职能线/行政法务部
30353,曹涛天,2026-04-23 09:29:57,A座-闸机,星云科技/商业化中心/销售二部
030175,许宇强,2026-04-03 09:59:43,A座-闸机,技术平台中心/基础架构部
30097,魏娜,2026-04-15 10:39:55,A座-闸机,技术平台中心/数据智能部
030245,陈丽艳,2026-04-30 08:34:06,A座-闸机,星云科技/商业化中心/商业产品部
30370,沈芳丽,2026-04-16 09:47:29,A座-闸机,商业化中心/商业产品部
30388,姜伟,2026-03-11 08:07:49,A座-闸机,用户增长/市场部
030118,冯兰,2026-04-09 08:28:32,A座-闸机,技术平台中心/数据智能部
30223,郑志,2026-03-16 08:34:38,A座-闸机,星云科技/商业化中心/销售二部
030150,杨娜斌,2026-04-26 08:37:18,A座-闸机,星云科技/技术平台/基础架构部
30419,陶桂杰,2026-04-23 10:15:22,A座-闸机,星云科技/用户增长中心/内容运营部
30551,何斌强,2026-04-14 08:24:26,A座-闸机,星云科技/技术平台中心/应用研发部
030016,张静,2026-04-06 10:39:36,A座-闸机,技术平台中心/应用研发部
30423,李平,2026-04-10 09:26:41,A座-闸机,星云科技/用户增长中心/市场部
30043,孙娜,2026-03-05 09:54:10,A座-闸机,星云科技/技术平台/基础架构部
30301,华艳伟,2026-03-29 12:31:56,A座-闸机,商业化中心/商业产品部
30101,李丽艳,2026-04-22 09:36:58,A座-闸机,星云科技/技术平台中心/应用研发部
030390,朱霞,2026-03-18 08:55:48,A座-闸机,用户增长/市场部
30500,金晨芳,2026-04-08 09:15:10,A座-闸机,职能线/行政法务部
30483,卫磊,2026-03-13 08:17:17,A座-闸机,星云科技/职能线/人力资源部
030034,韩浩晨,2026-04-08 08:12:56,A座-闸机,星云科技/技术平台/应用研发部
030244,曹悦曦,2026-04-21 08:02:47,A座-闸机,商业化中心/商业产品部
030517,陈秀红,2026-04-14 08:17:48,A座-闸机,星云科技/职能线/人力资源部
30379,陈萍,2026-03-05 08:11:15,A座-闸机,星云科技/用户增长中心/内容运营部
30012,施敏,2026-03-27 08:06:43,A座-闸机,星云科技/技术平台中心/基础架构部
030054,张英,2026-04-14 09:38:23,A座-闸机,星云科技/技术平台/数据智能部
030514,冯霞斌,2026-04-29 08:58:53,A座-闸机,星云科技/职能线/行政法务部
30099,何悦天,2026-04-30 09:48:05,A座-闸机,星云科技/技术平台/数据智能部
030441,陈涛,2026-03-11 09:48:38,A座-闸机,用户增长/市场部
30464,王玉曦,2026-04-21 10:21:51,A座-闸机,星云科技/职能线/人力资源部
30497,沈红敏,2026-04-22 10:56:36,A座-闸机,职能线/行政法务部
030226,施刚斌,2026-03-27 08:20:39,A座-闸机,商业化中心/销售一部
30457,周丽,2026-04-20 08:33:35,A座-闸机,星云科技/用户增长中心/内容运营部
30062,陶伟斌,2026-03-26 08:40:23,A座-闸机,星云科技/技术平台中心/基础架构部
030374,严桂敏,2026-04-10 09:41:50,A座-闸机,星云科技/用户增长中心/市场部
30060,赵超,2026-04-24 10:49:22,A座-闸机,星云科技/技术平台/基础架构部
30086,韩浩怡,2026-04-26 09:44:44,A座-闸机,技术平台中心/基础架构部
30478,张娟,2026-03-05 08:39:23,A座-闸机,职能线/财务部
30235,何悦华,2026-03-23 09:41:57,A座-闸机,商业化中心/销售二部
030274,杨丽,2026-04-30 10:56:15,A座-闸机,星云科技/商业化中心/商业产品部
30233,郑桂娜,2026-03-20 08:13:53,A座-闸机,商业化中心/销售二部
30427,严丽磊,2026-04-27 10:54:40,A座-闸机,星云科技/用户增长中心/内容运营部
30082,陶艳刚,2026-03-25 10:15:32,A座-闸机,星云科技/技术平台/基础架构部
030499,吴萍,2026-04-08 09:20:20,A座-闸机,星云科技/职能线/人力资源部
30435,施兰,2026-03-19 10:34:37,A座-闸机,星云科技/用户增长中心/市场部
30023,沈娜静,2026-03-05 08:20:15,A座-闸机,星云科技/技术平台/数据智能部
30169,秦萍,2026-03-06 10:55:48,A座-闸机,技术平台中心/数据智能部
30112,陈天军,2026-03-25 10:56:05,A座-闸机,星云科技/技术平台中心/基础架构部
30542,曹勇斌,2026-04-03 08:47:48,A座-闸机,星云科技/商业化中心/销售一部
30191,王悦,2026-03-02 08:54:36,A座-闸机,星云科技/技术平台中心/基础架构部
30020,金刚芳,2026-04-09 08:04:39,A座-闸机,技术平台中心/数据智能部
030334,沈洋勇,2026-04-20 09:10:32,A座-闸机,商业化中心/销售二部
30293,冯敏伟,2026-03-11 08:56:12,A座-闸机,商业化中心/销售二部
30474,姜桂志,2026-04-24 09:40:53,A座-闸机,职能线/人力资源部
030506,金桂娜,2026-03-02 10:10:20,A座-闸机,职能线/财务部
30154,沈平芳,2026-04-02 10:01:04,A座-闸机,星云科技/技术平台中心/应用研发部
30497,沈红敏,2026-04-10 08:01:04,A座-闸机,星云科技/职能线/行政法务部
030036,严勇杰,2026-03-19 09:00:45,A座-闸机,技术平台中心/基础架构部
30076,蒋浩敏,2026-03-16 10:26:38,A座-闸机,星云科技/技术平台中心/基础架构部
30371,张丽,2026-04-29 09:31:13,A座-闸机,星云科技/用户增长中心/市场部
030486,秦静,2026-03-24 09:00:12,A座-闸机,星云科技/职能线/财务部
