工号,姓名,一级部门,二级部门,职能类别,层级
30001,华平,技术平台中心,数据智能部,技术,M2
30002,卫静芳,技术平台中心,数据智能部,技术,P4
30003,褚秀娜,技术平台中心,应用研发部,技术,P4
30004,蒋静萍,技术平台中心,应用研发部,技术,M1
30006,尤超军,技术平台中心,数据智能部,技术,P6
30007,吴明英,技术平台中心,数据智能部,技术,M1
30008,金悦,技术平台中心,数据智能部,技术,M1
30009,吴涛曦,技术平台中心,基础架构部,技术,P4
30010,张志刚,技术平台中心,应用研发部,技术,P6
30011,褚怡浩,技术平台中心,数据智能部,技术,P6
30012,施敏,技术平台中心,基础架构部,技术,P7
30013,尤斌,技术平台中心,基础架构部,技术,P6
30014,郑宇,技术平台中心,基础架构部,技术,P4
30015,周芳洋,技术平台中心,应用研发部,技术,P4
30016,张静,技术平台中心,应用研发部,技术,P4
30017,吴秀悦,技术平台中心,基础架构部,技术,P4
30018,沈桂艳,技术平台中心,基础架构部,技术,M2
30019,施悦,技术平台中心,应用研发部,技术,P6
30020,金刚芳,技术平台中心,数据智能部,技术,M1
30021,魏萍,技术平台中心,应用研发部,技术,P4
30022,魏娟桂,技术平台中心,应用研发部,技术,M1
30023,沈娜静,技术平台中心,数据智能部,技术,P6
30024,吴军,技术平台中心,应用研发部,技术,P6
30025,沈欣娟,技术平台中心,基础架构部,技术,P6
30026,张刚,技术平台中心,基础架构部,技术,M2
30027,华曦晨,技术平台中心,应用研发部,技术,M1
30028,卫艳,技术平台中心,基础架构部,技术,P6
30029,何静强,技术平台中心,基础架构部,技术,P4
30030,钱刚,技术平台中心,应用研发部,技术,M2
30031,何军斌,技术平台中心,应用研发部,技术,P7
30032,沈刚艳,技术平台中心,基础架构部,技术,P6
30033,严宇,技术平台中心,数据智能部,技术,P6
30034,韩浩晨,技术平台中心,应用研发部,技术,M1
30035,朱宇,技术平台中心,基础架构部,技术,P6
30036,严勇杰,技术平台中心,基础架构部,技术,P5
30037,朱娜,技术平台中心,应用研发部,技术,P5
30038,孙军,技术平台中心,基础架构部,技术,P6
30039,华静华,技术平台中心,基础架构部,技术,M2
30040,冯强强,技术平台中心,应用研发部,技术,P5
30041,孙刚,技术平台中心,数据智能部,技术,P5
30042,韩红军,技术平台中心,应用研发部,技术,P7
30043,孙娜,技术平台中心,基础架构部,技术,M1
30044,魏晨,技术平台中心,应用研发部,技术,M1
